driverStandingsId,raceId,driverId,points,position,positionText,wins,label
29863,17,18,95,1,1,6,18
29864,17,22,77,3,3,2,22
29865,17,15,32.5,8,8,0,15
29866,17,10,24,10,10,0,10
29867,17,4,26,9,9,0,4
29868,17,3,34.5,7,7,0,3
29869,17,67,6,16,16,0,67
29870,17,7,2,19,19,0,7
29871,17,16,5,17,17,0,16
29872,17,2,19,13,13,0,2
29873,17,21,8,15,15,0,21
29874,17,17,69.5,4,4,2,17
29875,17,20,84,2,2,4,20
29876,17,9,17,14,14,0,9
29877,17,8,48,6,6,1,8
29878,17,13,22,11,11,0,13
29879,17,12,0,21,21,0,12
29880,17,6,0,20,20,0,6
29881,17,5,22,12,12,0,5
29882,17,1,49,5,5,2,1
29883,17,153,0,24,24,0,153
29884,17,154,0,23,23,0,154
29885,17,69,0,25,25,0,69
29886,17,24,0,22,22,0,24
29887,17,155,3,18,18,0,155
